timestamp,id,type,name,result,content
1607540229888,"81abc4d4-47e7-4981-abca-793b916acb68","task","acquireMultiplePhoneGeolocation","OK","{""took"":50045,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.059925,""longitude"":-0.1377461,""altitude"":239.5,""verticalAccuracy"":26.592,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:57:10.906Z"",""direction"":0,""horizontalAccuracy"":26.592},{""type"":""geolocation"",""latitude"":40.059933,""longitude"":-0.1376974,""altitude"":239.5,""verticalAccuracy"":24.598,""change"":""none"",""speed"":0.014687719,""timestamp"":""2020-12-09T18:57:20.960Z"",""direction"":75.384,""horizontalAccuracy"":24.598},{""type"":""geolocation"",""latitude"":40.059933,""longitude"":-0.1377412,""altitude"":239.5,""verticalAccuracy"":24.999,""change"":""none"",""speed"":0.330445,""timestamp"":""2020-12-09T18:57:30.912Z"",""direction"":268.40594,""horizontalAccuracy"":24.999},{""type"":""geolocation"",""latitude"":40.059925,""longitude"":-0.1377462,""altitude"":239.5,""verticalAccuracy"":26.414,""change"":""none"",""speed"":0.11736147,""timestamp"":""2020-12-09T18:57:40.978Z"",""direction"":240.5808,""horizontalAccuracy"":26.414},{""type"":""geolocation"",""latitude"":40.05993,""longitude"":-0.1377569,""altitude"":239.5,""verticalAccuracy"":27.618,""change"":""none"",""speed"":0.09732295,""timestamp"":""2020-12-09T18:57:50.986Z"",""direction"":285.50742,""horizontalAccuracy"":27.618}]}"
1607540241337,"ef041814-b479-46cc-9c0c-a74590582ce0","task","checkAreaOfInterestProximity","OK","{""took"":16,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540248069,"800360f0-11d3-4337-a4e6-caff48377e8a","event","questionsAnswered","OK","{""type"":""questionnaire-answers"",""change"":""none"",""timestamp"":""2020-12-09T18:57:27.924Z"",""answers"":[{""title"":""From 1 to 10, how anxious do you feel?"",""answer"":5,""millisecondsToAnswer"":12964}]}"
1607540280378,"e5be90e3-d1bd-4acf-a04e-5a25cf6cffe3","task","checkAreaOfInterestProximity","OK","{""took"":52,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540289807,"ff2b200e-6bef-4f7c-bdb8-2ebdd931576e","task","acquireMultiplePhoneGeolocation","OK","{""took"":50045,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.059933,""longitude"":-0.1377589,""altitude"":239.5,""verticalAccuracy"":25.204,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:58:10.825Z"",""direction"":0,""horizontalAccuracy"":25.204},{""type"":""geolocation"",""latitude"":40.05995,""longitude"":-0.1377459,""altitude"":239.5,""verticalAccuracy"":21.315,""change"":""none"",""speed"":0.008324083,""timestamp"":""2020-12-09T18:58:20.879Z"",""direction"":30.384687,""horizontalAccuracy"":21.315},{""type"":""geolocation"",""latitude"":40.059956,""longitude"":-0.1377136,""altitude"":239.5,""verticalAccuracy"":21.237,""change"":""none"",""speed"":0.25655535,""timestamp"":""2020-12-09T18:58:30.777Z"",""direction"":80.19639,""horizontalAccuracy"":21.237},{""type"":""geolocation"",""latitude"":40.059944,""longitude"":-0.1377083,""altitude"":239.5,""verticalAccuracy"":23.292,""change"":""none"",""speed"":0.11180488,""timestamp"":""2020-12-09T18:58:40.917Z"",""direction"":132.95659,""horizontalAccuracy"":23.292},{""type"":""geolocation"",""latitude"":40.059944,""longitude"":-0.1377217,""altitude"":239.5,""verticalAccuracy"":23.452,""change"":""none"",""speed"":0.0757828,""timestamp"":""2020-12-09T18:58:50.897Z"",""direction"":259.75812,""horizontalAccuracy"":23.452}]}"
1607540340278,"cc22a0a1-a1d1-4090-915b-ec04dff54e48","task","checkAreaOfInterestProximity","OK","{""took"":53,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540349938,"3d3a284c-d723-4f41-b656-6e48da9936b1","task","sendNotification","OK","{""took"":24,""emitted"":""sendNotificationFinished"",""invokedBy"":""taskExecutionStarted"",""outcome"":{}}"
1607540350213,"276ee6ef-bfe8-4c3c-a792-5aad80c7a3be","task","acquirePhoneGeolocation","OK","{""took"":11119,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":{""type"":""geolocation"",""latitude"":40.05994,""longitude"":-0.137749,""altitude"":239.5,""verticalAccuracy"":23.589,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:59:11.235Z"",""direction"":0,""horizontalAccuracy"":23.589}}"
1607540350223,"379b5b2b-35ad-4b62-8b67-5aa971ca5942","task","acquireMultiplePhoneGeolocation","OK","{""took"":50043,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.05994,""longitude"":-0.137749,""altitude"":239.5,""verticalAccuracy"":23.589,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:59:11.235Z"",""direction"":0,""horizontalAccuracy"":23.589},{""type"":""geolocation"",""latitude"":40.059948,""longitude"":-0.1377162,""altitude"":239.5,""verticalAccuracy"":22.96,""change"":""none"",""speed"":0.24069338,""timestamp"":""2020-12-09T18:59:21.264Z"",""direction"":70.86048,""horizontalAccuracy"":22.96},{""type"":""geolocation"",""latitude"":40.059937,""longitude"":-0.1377159,""altitude"":239.5,""verticalAccuracy"":23.532,""change"":""none"",""speed"":0.006791475,""timestamp"":""2020-12-09T18:59:31.337Z"",""direction"":197.76483,""horizontalAccuracy"":23.532},{""type"":""geolocation"",""latitude"":40.05994,""longitude"":-0.1377265,""altitude"":239.5,""verticalAccuracy"":48.9,""change"":""none"",""speed"":0.08134849,""timestamp"":""2020-12-09T18:59:41.273Z"",""direction"":277.43036,""horizontalAccuracy"":48.9},{""type"":""geolocation"",""latitude"":40.059937,""longitude"":-0.1377555,""altitude"":239.5,""verticalAccuracy"":56.1,""change"":""none"",""speed"":0.21292576,""timestamp"":""2020-12-09T18:59:49.298Z"",""direction"":267.3123,""horizontalAccuracy"":56.1}]}"
1607540361726,"59b1a1f3-dc65-44af-80bd-12bddd4171dd","task","checkAreaOfInterestProximity","OK","{""took"":16,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
