battery,exec_timestamp,planning_timestamp,task
97,1636151742559,1636151657974,"dummy"
97,1636151777813,1636151742542,"dummy"
97,1636151848178,1636151777795,"dummy"
97,1636154767654,1636151848143,"dummy"
97,1636154777980,1636154767633,"dummy"
96,1636161408277,1636154777955,"dummy"
96,1636161437195,1636161408251,"dummy"
94,1636175678108,1636161437175,"dummy"
92,1636196634266,1636175678078,"dummy"
90,1636218167862,1636196634226,"dummy"
89,1636239277868,1636218167303,"dummy"
86,1636260853166,1636239277836,"dummy"
86,1636260859179,1636260852926,"dummy"
85,1636260923959,1636260859120,"dummy"
85,1636260977176,1636260922597,"dummy"
84,1636261037216,1636260977157,"dummy"
84,1636282374390,1636261037156,"dummy"
84,1636282397177,1636282374363,"dummy"
83,1636289156921,1636282397159,"dummy"
83,1636289177467,1636289156881,"dummy"
83,1636289237786,1636289177449,"dummy"
83,1636289298406,1636289237768,"dummy"
83,1636289357774,1636289298293,"dummy"
83,1636289418046,1636289357753,"dummy"
83,1636289477295,1636289418028,"dummy"
83,1636289537646,1636289477276,"dummy"
83,1636289597566,1636289537626,"dummy"
83,1636289657867,1636289597545,"dummy"
83,1636289718148,1636289657852,"dummy"
83,1636289777443,1636289718132,"dummy"
83,1636289837825,1636289777411,"dummy"
83,1636289898082,1636289837809,"dummy"
83,1636289957331,1636289898063,"dummy"
83,1636290017605,1636289957316,"dummy"
83,1636290078101,1636290017578,"dummy"
83,1636290137391,1636290078080,"dummy"
83,1636290197676,1636290137373,"dummy"
83,1636290257958,1636290197659,"dummy"
83,1636290318204,1636290257940,"dummy"
83,1636290383485,1636290318186,"dummy"
83,1636290437812,1636290383458,"dummy"
83,1636290497745,1636290437792,"dummy"
83,1636290558003,1636290497724,"dummy"
83,1636290618268,1636290557986,"dummy"
83,1636290677947,1636290618253,"dummy"
83,1636290738218,1636290677922,"dummy"
83,1636290797483,1636290738200,"dummy"
83,1636290857703,1636290797467,"dummy"
82,1636290917427,1636290857687,"dummy"
82,1636290977840,1636290917408,"dummy"
82,1636291038086,1636290977822,"dummy"
82,1636291097341,1636291038070,"dummy"
82,1636291157586,1636291097325,"dummy"
82,1636291217759,1636291157566,"dummy"
82,1636291289304,1636291217735,"dummy"
82,1636291337918,1636291289285,"dummy"
82,1636291397874,1636291337900,"dummy"
82,1636291458125,1636291397856,"dummy"
82,1636291517380,1636291458109,"dummy"
82,1636291577541,1636291517364,"dummy"
82,1636291637805,1636291577520,"dummy"
82,1636291698067,1636291637784,"dummy"
82,1636291757320,1636291698048,"dummy"
82,1636291817571,1636291757303,"dummy"
82,1636291878087,1636291817554,"dummy"
82,1636291937350,1636291878071,"dummy"
82,1636291997623,1636291937334,"dummy"
82,1636292057876,1636291997607,"dummy"
82,1636292118143,1636292057857,"dummy"
82,1636292177403,1636292118126,"dummy"
82,1636292237652,1636292177387,"dummy"
82,1636292297603,1636292237635,"dummy"
82,1636292357856,1636292297582,"dummy"
82,1636292418109,1636292357839,"dummy"
82,1636292477238,1636292418093,"dummy"
82,1636292537699,1636292477219,"dummy"
82,1636292597937,1636292537682,"dummy"
82,1636292658192,1636292597919,"dummy"
82,1636292717461,1636292658171,"dummy"
82,1636292777999,1636292717441,"dummy"
82,1636292837347,1636292777970,"dummy"
82,1636292897626,1636292837331,"dummy"
82,1636292958147,1636292897599,"dummy"
82,1636293017448,1636292958130,"dummy"
82,1636293077954,1636293017433,"dummy"
82,1636293138197,1636293077937,"dummy"
82,1636293198155,1636293138183,"dummy"
