"INSTANT","TAKES","LAT","LON","ALT","VACC","HACC","SPD","DIR"
2081388,10007,40.059734,-0.1398467,234.6,30.367,30.367,0.6588266,225.37383
2091395,10007,40.059723,-0.1398793,234.6,30.389,30.389,0.49426654,231.61743
2111367,10009,40.059742,-0.1398501,234.6,34.578,34.578,0,0
2121376,10009,40.05974,-0.1398644,237.70001,44.754,44.754,0.0026436474,250.17943
2131385,10009,40.05977,-0.139716,237.70001,80.963,80.963,0.7331892,74.775894
2141394,10009,40.060493,-0.1398006,233.70001,58.799,58.799,3.7844956,0.83481604
2151403,10009,40.06073,-0.1398773,233.70001,74.813,74.813,3.3441184,356.3892
2171367,10005,40.06081,-0.1398823,233.70001,62.691,62.691,0.015317176,322.50006
2181372,10005,40.06068,-0.1397302,233.70001,62.109,62.109,0.6853245,137.82881
2191377,10005,40.060776,-0.139572,233.70001,63.968,63.968,0.536368,58.95547
2201382,10005,40.06103,-0.1396696,231.90001,36.85,36.85,1.2932297,359.1069
2211387,10005,40.06124,-0.1398029,231.8,16.672,16.672,1.659557,345.30582
2231367,10012,40.06129,-0.1398078,231.90001,20.704,20.704,0.8916044,348.24667
2241379,10012,40.061275,-0.139788,231.90001,23.445,23.445,0.41106874,357.82632
2251391,10012,40.06128,-0.1397697,231.90001,27.729,27.729,0.28634712,13.866285
2261403,10012,40.061268,-0.1396962,231.90001,42.61,42.61,0.3189343,71.81699
2271415,10012,40.061127,-0.1391611,233.5,38.992,38.992,1.7080295,105.45809
2291367,10009,40.061157,-0.138884,233.6,25.778,25.778,0,0
2301376,10009,40.061127,-0.1388,234.1,24.157,24.157,0.028589025,114.17509
2311385,10009,40.061188,-0.1387123,233.6,36.788,36.788,0.040952556,48.029686
2321394,10009,40.06193,-0.1386358,233.6,19.011,19.011,5.3969474,4.5994425
2331403,10009,40.062103,-0.1385453,229.90001,23.862,23.862,3.0485861,12.771321
